37,9,19,46,90,94,16,6,42,22,78,77,35,98,18
9,20,96,48,66,54,55,32,40,37,77,17,52,77,11
58,35,45,74,81,63,48,1,32,95,36,98,84,88,43
82,4,41,100,79,55,4,60,31,15,82,84,69,53,9
91,55,1,61,42,60,41,29,70,20,93,14,60,83,50
19,78,80,71,59,64,1,40,19,83,91,19,12,35,80
99,85,70,86,48,51,35,87,15,8,19,2,88,52,56
69,72,13,92,10,48,77,88,23,47,30,7,57,5,47
100,76,66,65,96,98,2,34,73,32,76,62,47,44,84
81,75,60,89,32,75,15,89,83,46,26,46,61,85,81
90,33,40,55,44,99,54,35,45,2,38,96,97,15,3
79,93,74,68,53,21,42,55,24,28,96,72,67,39,42
40,81,63,41,41,72,40,44,58,49,27,40,25,47,4
