39,2,37,38,25,66,46,38,47,7,97,66,3,70,95
55,46,46,9,49,20,100,66,17,48,69,9,53,60,27
28,98,87,22,98,4,7,19,51,100,80,84,97,37,11
62,26,72,24,60,71,48,88,26,82,86,14,79,19,12
5,94,3,48,86,55,73,70,74,31,100,89,80,96,98
42,18,1,85,76,10,43,36,54,59,92,47,26,8,13
30,83,29,64,75,34,82,1,40,25,77,50,2,78,86
79,58,24,23,10,19,40,79,19,37,67,21,62,59,63
48,9,52,58,3,60,64,25,88,3,65,99,74,34,64
70,80,95,13,69,16,94,34,73,61,7,73,41,94,40
68,84,10,98,64,62,32,73,80,46,33,33,15,7,34
81,25,38,60,57,35,45,40,93,54,74,78,66,13,73
40,90,9,56,94,74,2,6,84,92,79,44,91,46,24
