57,35,67,33,58,19,1,23,66,4,24,95,3,59,5
96,4,100,23,74,72,19,66,51,34,50,79,37,53,90
7,24,38,55,18,61,38,77,98,76,92,52,99,30,42
85,22,22,5,72,60,9,35,69,33,12,82,52,87,44
8,52,47,22,17,74,24,96,81,69,65,54,10,8,84
86,94,78,4,85,18,48,27,23,19,46,93,25,63,23
73,96,97,96,31,81,47,78,96,53,98,50,73,29,43
80,2,86,72,24,35,3,92,24,86,71,47,81,50,98
28,13,62,24,9,23,95,39,2,6,9,89,94,86,80
72,63,79,3,60,52,20,53,14,88,68,70,77,33,21
32,79,92,92,5,97,18,47,45,91,77,13,47,68,3
78,95,18,40,86,41,78,11,56,18,36,75,15,62,57
46,55,13,35,16,50,26,3,100,5,83,49,4,64,9
