46,25,4,80,55,66,90,5,24,7,75,16,84,68,54
48,78,40,88,83,4,47,50,3,15,11,80,57,9,33
78,39,18,10,86,13,78,96,39,51,1,17,91,31,81
59,3,25,37,94,48,100,41,80,48,15,52,36,69,43
56,47,32,14,75,37,98,19,59,44,40,50,62,36,20
43,83,37,98,25,38,37,6,48,83,61,66,47,98,67
54,28,8,78,63,8,30,51,44,60,35,43,18,42,11
11,20,75,86,73,1,65,47,27,56,34,97,94,86,86
98,87,29,26,38,50,97,75,68,2,58,62,44,92,77
87,57,62,22,49,89,93,38,21,89,82,11,1,95,94
92,18,95,79,61,10,62,71,23,64,99,36,80,76,12
28,51,14,87,11,28,85,72,67,70,37,92,98,58,89
55,77,81,67,53,77,74,44,51,43,89,45,15,1,44
