74,62,73,89,97,10,35,58,74,4,26,78,69,74,95
47,92,55,99,93,96,61,65,35,51,20,23,66,79,47
3,84,32,21,62,75,96,45,4,76,13,5,90,1,66
39,56,59,66,24,17,10,95,8,69,2,35,32,52,56
67,5,56,2,38,49,87,27,77,31,88,32,12,92,34
11,55,39,58,54,100,64,9,17,99,69,93,95,77,77
57,93,12,77,82,4,58,62,57,95,48,99,46,63,48
68,67,40,29,74,43,57,67,80,59,73,19,59,10,7
65,65,99,96,48,93,85,53,70,15,50,42,17,40,74
28,37,30,74,78,66,51,12,36,41,59,12,33,55,14
31,32,50,35,16,22,48,84,60,30,17,96,51,78,83
93,6,34,76,12,25,91,18,86,73,81,46,37,32,72
97,96,64,94,57,3,72,44,98,2,72,65,93,46,71
