60,40,33,87,15,94,96,6,3,3,9,12,37,47,66
15,98,65,35,32,32,91,7,9,76,45,46,72,68,71
73,86,35,3,29,30,79,70,43,77,55,26,80,74,52
33,79,32,86,63,98,59,78,69,94,4,70,42,39,44
95,92,86,98,3,93,94,56,18,83,79,31,15,86,39
74,83,85,74,86,25,17,95,72,35,88,83,35,49,51
48,61,51,95,78,99,9,53,94,24,37,39,3,75,32
96,96,58,41,83,14,2,33,40,74,3,96,13,37,92
23,19,75,78,84,33,95,94,20,79,32,75,28,40,21
37,74,23,32,47,51,74,34,11,97,15,40,75,9,23
70,89,70,54,67,83,3,79,57,100,72,38,82,54,70
36,33,92,69,50,62,16,35,39,69,90,47,64,22,54
40,78,1,81,79,47,32,5,54,54,8,27,10,69,72
