37,29,20,99,88,24,58,81,95,52,100,70,95,31,11
69,9,23,47,77,45,46,79,98,20,95,69,69,67,25
18,24,98,2,83,42,5,52,25,16,8,4,63,72,96
24,19,24,17,20,43,80,98,70,79,92,98,19,96,22
49,5,40,28,37,34,50,58,52,44,97,54,49,20,32
96,77,38,19,24,86,32,19,39,21,19,33,78,86,15
53,18,49,56,97,32,95,3,26,69,55,71,93,85,40
1,70,31,57,19,75,47,10,83,14,3,95,83,12,83
81,43,13,94,47,97,18,59,48,61,24,66,39,39,1
10,68,18,7,6,1,89,22,92,95,35,11,60,65,70
4,92,46,91,36,19,25,62,40,27,69,51,3,40,47
3,83,72,87,74,11,79,96,96,92,86,90,84,24,9
98,69,82,29,64,76,73,47,30,19,22,92,1,41,58
