98,15,5,79,1,9,86,80,69,72,6,79,68,85,70
4,79,15,62,76,39,8,10,8,56,84,78,36,4,43
45,95,32,55,62,70,70,95,53,23,3,55,78,32,95
97,91,24,81,58,29,42,99,59,3,79,16,95,91,37
43,31,30,96,28,46,75,70,54,57,95,46,65,37,8
24,36,96,83,67,37,10,22,33,20,55,10,1,95,41
63,20,69,65,72,52,92,54,38,89,45,25,58,35,19
20,40,82,3,54,61,41,4,9,100,98,27,31,40,13
100,18,37,88,46,3,51,5,4,96,58,64,40,3,21
74,78,7,87,71,96,13,24,41,1,47,4,94,97,80
10,47,90,40,79,34,12,50,96,30,26,11,74,9,48
80,88,94,66,63,17,9,9,60,82,2,80,54,66,73
54,62,14,13,93,15,44,74,49,95,75,14,90,77,96
