96,44,27,10,72,32,25,67,32,89,5,33,94,78,54
45,100,58,40,95,78,96,91,8,23,22,74,67,63,20
82,38,16,77,87,39,92,60,81,1,82,38,63,22,19
58,2,36,9,49,57,20,93,12,35,70,6,42,16,81
32,15,50,49,100,81,74,74,28,79,19,88,69,25,97
10,43,71,81,51,67,99,21,82,71,76,68,80,97,18
98,63,96,23,34,74,47,54,85,66,98,67,92,29,37
24,20,63,65,70,1,22,68,86,48,83,97,31,73,30
14,17,67,11,45,10,78,24,45,50,75,80,16,98,32
11,83,26,57,61,53,68,25,79,62,54,49,13,49,58
75,66,81,86,57,59,79,1,96,56,35,7,84,64,68
92,48,2,25,52,20,10,71,41,7,45,2,40,35,7
66,73,95,55,23,45,49,46,3,90,9,78,15,4,52
