40,41,32,79,90,94,72,43,33,61,64,72,20,24,98
94,19,23,42,3,35,63,11,76,4,10,3,22,63,15
74,57,8,4,72,33,42,74,95,55,67,47,54,92,86
8,86,58,40,21,56,79,81,66,75,31,19,16,19,58
100,67,30,3,79,88,71,95,36,40,1,10,7,51,4
10,33,10,15,49,66,7,33,69,58,72,37,4,44,39
3,70,47,5,93,14,69,41,4,54,12,29,65,10,79
65,59,11,96,82,59,77,17,78,6,8,18,52,54,42
54,5,66,53,2,48,40,15,92,66,2,50,73,7,69
6,83,97,60,92,7,100,79,45,2,91,94,68,65,99
39,25,80,83,62,83,26,58,23,9,77,79,5,25,19
82,45,79,37,95,86,80,89,28,79,79,66,87,85,92
84,31,25,77,50,46,13,38,34,77,50,30,27,40,9
