43,96,3,30,35,3,33,7,3,62,45,96,49,79,50
86,41,52,5,1,52,15,77,83,32,72,10,24,92,9
11,22,76,95,93,31,98,16,25,3,99,9,15,42,46
24,32,90,59,98,10,7,48,31,6,24,70,28,10,74
91,86,97,10,32,23,44,100,40,92,63,22,7,27,42
78,81,10,9,31,75,55,5,8,20,97,40,29,33,82
39,17,79,33,78,18,78,42,19,38,10,80,89,26,70
32,39,60,7,88,98,52,87,94,85,98,5,32,86,62
51,67,62,74,73,37,64,33,52,70,74,34,66,54,39
71,10,1,92,84,36,92,50,69,39,9,15,83,52,36
50,52,70,98,19,78,35,36,13,4,79,19,9,70,22
92,53,24,21,97,68,32,83,33,97,50,57,61,14,32
20,70,20,20,2,12,1,39,58,65,96,56,35,47,83
