98,41,55,58,34,96,23,19,4,46,24,78,95,10,90
26,1,64,1,63,1,71,30,68,38,38,91,81,40,47
63,60,79,45,16,64,1,74,6,60,8,14,79,44,44
24,49,54,72,18,74,38,58,53,78,76,85,29,32,57
33,5,70,61,54,69,42,80,100,97,49,34,93,31,56
74,69,100,92,74,41,68,28,58,34,50,30,25,65,12
92,19,98,9,43,98,70,35,59,75,89,55,75,94,86
72,61,52,84,48,81,7,83,75,67,94,51,13,72,94
97,72,42,78,84,2,8,49,83,39,27,99,30,92,58
13,55,84,47,21,92,44,20,19,3,74,11,49,26,61
73,83,48,54,37,73,13,60,70,33,77,75,73,87,17
2,7,69,100,36,22,81,5,54,49,19,94,65,73,65
91,99,12,62,72,88,78,15,49,66,82,65,52,69,88
