Option_number,Population_size,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
75,15,0.1,0.3,0.1,0.5,500,395.5729883,0.79,15.8149
76,15,0.1,0.3,0.1,0.5,1000,799.2616973,0.8,15.6824
77,15,0.3,0.1,0.1,0.5,100,88.59293985,0.89,16.3714
78,15,0.3,0.1,0.1,0.5,300,250.0286117,0.83,17.4834
79,15,0.3,0.1,0.1,0.5,500,389.0729685,0.78,16.535
80,15,0.3,0.1,0.1,0.5,1000,795.1419122,0.8,15.2634
81,15,0.25,0.25,0.25,0.25,100,90.88868499,0.91,8.685
82,15,0.25,0.25,0.25,0.25,300,252.4786386,0.84,8.0253
83,15,0.25,0.25,0.25,0.25,500,388.2403672,0.78,4.3514
84,15,0.25,0.25,0.25,0.25,1000,764.5092261,0.76,8.6213
