34,7,24,47,37,11,49,44,3,47
48,40,46,18,44,24,45,3,16,28
31,14,7,37,38,17,8,22,4,37
6,20,27,24,35,41,39,32,2,43
12,21,26,39,3,9,36,39,23,24
44,,41,15,29,7,1,19,30,10
24,,,,25,33,41,,,
13,,,,50,,47,,,
5,,,,7,,,,,
42,,,,39,,,,,
