Option_number,Employed_bees,Limit,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
80,15,150,0.1,0.3,0.5,0.1,160,0.49,0.18375,-5.4878
81,15,10,0.1,0.1,0.5,0.3,173,0.59,0.204624277,-6.3229
82,15,30,0.1,0.1,0.5,0.3,278,0.88,0.189928058,-6.2223
83,15,50,0.1,0.1,0.5,0.3,194,0.61,0.188659794,-6.2882
84,15,100,0.1,0.1,0.5,0.3,191,0.57,0.179057592,-6.2266
85,15,150,0.1,0.1,0.5,0.3,256,0.74,0.1734375,-6.282
86,15,10,0.1,0.1,0.3,0.5,404,1.42,0.210891089,-3.4526
87,15,30,0.1,0.1,0.3,0.5,309,1,0.194174757,-3.3779
88,15,50,0.1,0.1,0.3,0.5,262,0.82,0.18778626,-3.3581
89,15,100,0.1,0.1,0.3,0.5,207,0.64,0.185507246,-3.3673
90,15,150,0.1,0.1,0.3,0.5,307,0.92,0.17980456,-3.2915
91,15,10,0.1,0.3,0.1,0.5,188,0.71,0.226595745,-0.1684
92,15,30,0.1,0.3,0.1,0.5,229,0.86,0.225327511,-0.2251
93,15,50,0.1,0.3,0.1,0.5,406,1.52,0.224630542,-0.2151
94,15,100,0.1,0.3,0.1,0.5,266,0.97,0.218796992,-0.239
95,15,150,0.1,0.3,0.1,0.5,403,1.46,0.217369727,-0.2283
96,15,10,0.3,0.1,0.1,0.5,361,1.58,0.262603878,-0.1996
97,15,30,0.3,0.1,0.1,0.5,251,0.99,0.236653386,-0.1461
98,15,50,0.3,0.1,0.1,0.5,262,1.03,0.235877863,-0.1289
99,15,100,0.3,0.1,0.1,0.5,306,1.18,0.231372549,-0.1642
100,15,150,0.3,0.1,0.1,0.5,229,0.87,0.227947598,-0.2653
101,15,10,0.25,0.25,0.25,0.25,297,1.14,0.23030303,-1.6153
102,15,30,0.25,0.25,0.25,0.25,421,1.56,0.222327791,-1.6272
103,15,50,0.25,0.25,0.25,0.25,352,1.28,0.218181818,-1.632
104,15,100,0.25,0.25,0.25,0.25,154,0.55,0.214285714,-1.4466
105,15,150,0.25,0.25,0.25,0.25,220,0.77,0.21,-1.6738
