Option_number,Employed_bees,Limit,Weight_distance,Weight_time,Weight_frequency,Weight_connectivity,Iterations,Total_run_time,Average_run_time,Score
80,15,150,0.1,0.3,0.5,0.1,202,1.56,0.463366337,-7.0271
81,15,10,0.1,0.1,0.5,0.3,331,2.78,0.503927492,-8.8905
82,15,30,0.1,0.1,0.5,0.3,376,2.98,0.475531915,-9.2295
83,15,50,0.1,0.1,0.5,0.3,172,1.32,0.460465116,-8.9971
84,15,100,0.1,0.1,0.5,0.3,412,3.15,0.458737864,-9.3338
85,15,150,0.1,0.1,0.5,0.3,336,2.52,0.45,-9.3844
86,15,10,0.1,0.1,0.3,0.5,363,3.09,0.510743802,-4.3699
87,15,30,0.1,0.1,0.3,0.5,214,1.74,0.487850467,-4.3711
88,15,50,0.1,0.1,0.3,0.5,185,1.43,0.463783784,-4.5417
89,15,100,0.1,0.1,0.3,0.5,176,1.36,0.463636364,-4.5664
90,15,150,0.1,0.1,0.3,0.5,368,2.82,0.459782609,-4.6493
91,15,10,0.1,0.3,0.1,0.5,243,2.34,0.577777778,0.7678
92,15,30,0.1,0.3,0.1,0.5,178,1.64,0.552808989,0.7897
93,15,50,0.1,0.3,0.1,0.5,352,3.21,0.547159091,0.7188
94,15,100,0.1,0.3,0.1,0.5,257,2.33,0.543968872,0.8632
95,15,150,0.1,0.3,0.1,0.5,293,2.74,0.56109215,0.7354
96,15,10,0.3,0.1,0.1,0.5,190,1.76,0.555789474,0.6629
97,15,30,0.3,0.1,0.1,0.5,197,1.82,0.554314721,0.3414
98,15,50,0.3,0.1,0.1,0.5,189,1.74,0.552380952,0.7317
99,15,100,0.3,0.1,0.1,0.5,287,2.62,0.547735192,0.6309
100,15,150,0.3,0.1,0.1,0.5,278,2.61,0.563309353,0.5357
101,15,10,0.25,0.25,0.25,0.25,259,2.33,0.53976834,-0.7715
102,15,30,0.25,0.25,0.25,0.25,155,1.36,0.526451613,-0.6543
103,15,50,0.25,0.25,0.25,0.25,362,3.19,0.528729282,-0.8875
104,15,100,0.25,0.25,0.25,0.25,321,2.82,0.527102804,-0.6683
105,15,150,0.25,0.25,0.25,0.25,428,3.73,0.522897196,-0.8012
