Algorithm,Avg_Best_score,Dominating_Solutions,Dominated_Solutions,Avg_RunTime,Min_RunTime,Max_RunTime
Simulated Annealing,-1.8758360944025365,1131.1,23.1,41.049,37.49,47.61
Artificial Bee Colony,1.0507579043312623,23.1,1131.1,40.057,25.05,61.620000000000005
