Algorithm,Avg_Best_score,Dominating_Solutions,Dominated_Solutions,Avg_RunTime,Min_RunTime,Max_RunTime
Simulated Annealing,-0.7627791440884388,119.4,74.8,0.786,0.76,0.8
Artificial Bee Colony,-0.8177510764656268,74.8,119.4,0.9390000000000001,0.53,1.91
