Algorithm,Avg_Best_score,Dominating_Solutions,Dominated_Solutions,Avg_RunTime,Min_RunTime,Max_RunTime
Simulated Annealing,-2.4484701758175342,2317.6666666666665,0.0,343.0466666666666,323.62,365.9
Artificial Bee Colony,5.344528703504416,0.0,2317.6666666666665,183.07666666666668,140.45,238.01
