Algorithm,Avg_Best_score,Dominating_Solutions,Dominated_Solutions,Avg_RunTime,Min_RunTime,Max_RunTime
Simulated Annealing,-1.027200807539415,211.5,88.6,2.004,1.83,2.26
Artificial Bee Colony,-0.997791923231482,88.6,211.5,2.037,1.17,4.15
